feature_name,variance,target_linear_correlation,feature_importances
Dt_V_VR1V2DRA_M_OUT_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.00010595,0.061548677,0.001322807
EEPROM_S1__,592.5197993,0.019696013,0.001313743
KK_LK_CM_LO of 1103959_69_1133592_QPP,0.901527488,0.013456339,0.001307703
Zb_V_OBVOH_L of 1103959_69_1133529_cp1_cp1p5_YPP,0.000315615,0.035777184,0.001303836
HH_CONT_CM of 1103959_69_1133592_QPP,0.000465724,0.033230268,0.001302227
AC_SENSE_CN_FG_SA of 1103959_69_1133529_cp1,1.45E-05,0.046670412,0.001293071
AG_V_SELF_TEST_GAIN_6_4_1 of 1103959_69_1133529_cp1p5,0.000525324,0.077499746,0.001289742
HH_CONT_CR of 1103959_69_1133592_QPP,0.000441855,0.032548898,0.001289007
HH_CONT_CL_APMU of 1103959_69_1133529_cp1p5,0.001703062,0.024366393,0.001284699
AG_V_SELF_TEST_GAIN_5_1_8_RAW of 1103959_69_JPP,0.00092612,0.109277064,0.00128219
AC_SENSE_CRP of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,2.84E-05,0.097005901,0.001279921
AG_V_SELF_TEST_GAIN_12_2_1 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000358234,0.097464358,0.001277986
AG_V_SELF_GAIN_12_2_1_2C_VSS of 1103959_69_1133529_cp1p5,0.000146169,0.023824899,0.001277892
AC_V_AFE_CLN_5_8_8_I0_RAW of 1103959_69_1133529_cp1,0.002671622,0.005824555,0.001275409
Gb_I_GBIAS_0 of 1103959_69_1133529_cp1,0.014696889,0.114632675,0.0012746
AC_VOUTB0 of 1103959_69_1133529_cp1p5,229.0598087,0.017037632,0.001274504
Zb_I_OBSHORTL of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.932945448,0.133106786,0.001271751
SensorOffset YPP,0.003683944,0.03598879,0.001267649
HH_CONT_PTEN of 1103959_69_1133592_QPP,0.000453158,0.015941803,0.001266702
HH_CONT_CL of 1103959_69_1133529_cp1p5,0.000198492,0.102675401,0.001266638
AG_V_SELF_GAIN_9_1_2_N_VSS of 1103959_69_1133529_cp1,8.59E-05,0.090590767,0.001266588
Gb_I_GBIAS_0_HV of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.003505906,0.073974553,0.00126053
AC_V_GAIN_AFE_CRN_5_8_8_RAW of 1103959_69_1133529_cp1p5,0.009458831,0.088762482,0.001255751
AC_SENSE_CRN of 1103959_69_JPP,2.48E-05,0.128166704,0.001253212
TR_TEMP_CALC of 1103959_69_1133529_cp1_cp1p5_YPP,31.8493845,0.019469036,0.00124883
AG_V_SELF_TEST_GAIN_11_2_1 of 1103959_69_1133529_cp1_cp1p5_YPP,0.000327913,0.090676453,0.001246851
AG_V_SELF_TEST_GAIN_12_2_1_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000481801,0.093000389,0.001246007
VV_V_3V3_M20M of 1103959_69_1133529_cp1_cp1p5_YPP,0.000204338,0.037309621,0.00124506
Gb_I_GBIAS_0 2 of 1103959_69_JPP,0.008451099,0.107768842,0.001243644
AG_V_SELF_TEST_GAIN_5_1_8 of 1103959_69_JPP,0.000587944,0.096290881,0.001240133
HH_CONT_CR_APMU of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.001935727,0.027234861,0.001238995
HH_CONT_CL_APMU of 1103959_69_1133592_QPP,0.001932325,0.004404815,0.00123253
AC_V_AFE_CLP_5_8_8_I0_VSS of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000128861,0.088106775,0.001232034
Zb_V_OBVOL_L_RAW of 1103959_69_1133529_cp1p5,0.000781357,0.025093213,0.001224712
Zb_V_OBVOL_VSS of 1103959_69_1133529_cp1,5.98E-05,0.059298576,0.001223855
AG_V_SELF_TEST_GAIN_7_4_1 of 1103959_69_1133529_cp1p5,0.000423784,0.095725453,0.001222114
HH_CONT_OUT_APMU of 1103959_69_1133529_cp1_cp1p5_YPP,7.55E-05,0.024521001,0.00122178
HH_CONT_SH_OUT of 1103959_69_JPP,0.000189187,0.020446287,0.001219993
AC_V_AFE_CLN_5_8_8_I0_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.001241275,0.036586092,0.001219127
VV_V_3V3_M20M of 1103959_69_JPP,7.86E-05,0.021205147,0.001210956
TR_TEMP_CALC of 1103959_69_1133529_cp1p5,39.15589207,0.016929098,0.00121092
Gb_I_GBIAS_0 2 of 1103959_69_1133529_cp1,0.010551295,0.124171471,0.001207018
AC_V_GAIN_AFE_CLN_5_8_8_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.002199078,0.106465883,0.001201498
AG_V_SELF_TEST_GAIN_10_1_2 of 1103959_69_JPP,0.000301357,0.085151957,0.001200381
AC_V_AFE_CLN_5_8_8_I0 of 1103959_69_JPP,0.001235783,0.003327923,0.001197282
AC_OFFCALRES of 1103959_69_1133529_cp1,0.367363766,0.001054494,0.001189431
HH_CONT_VINT of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.00051173,0.085854699,0.001187786
IO_ISUPFM of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.648420049,0.103513887,0.001187051
AC_SENSE_CLN of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.002633013,0.120918714,0.001185636
HH_CONT_SH_OUT_APMU of 1103959_69_1133529_cp1,0.003354726,0.019334086,0.001183519
